id_registro,fecha,anio,mes,trimestre,region,canal,categoria,producto,unidades_vendidas,precio_unitario,descuento_pct,venta_bruta,venta_neta,meta_unidades,cumplimiento_meta
31,2023-01-17,2023,1,Q1,Costa,Supermercados,Nuggets,Nuggets Res 400g,87,5.4,0.0,469.8,469.8,93,0
29,2023-01-17,2023,1,Q1,Sierra,Supermercados,Chorizos,Longaniza 500g,87,3.9,0.0,339.3,339.3,93,0
7,2023-01-18,2023,1,Q1,Costa,Supermercados,Mortadelas,Mortadela Bologna 500g,108,3.6,0.05,388.8,369.36,93,1
32,2023-01-18,2023,1,Q1,Sierra,Supermercados,Salchichas,Salchicha Frankfurter 400g,110,2.9,0.0,319.0,319.0,93,1
28,2023-01-18,2023,1,Q1,Oriente,Supermercados,Chorizos,Chorizo Parrillero 500g,97,4.5,0.1,436.5,392.85,93,1
27,2023-01-19,2023,1,Q1,Oriente,Autoservicios,Mortadelas,Mortadela Bologna 500g,36,3.6,0.0,129.6,129.6,40,0
15,2023-01-19,2023,1,Q1,Sierra,Canal Tradicional,Salchichas,Salchicha Vienesa 500g,48,3.25,0.1,156.0,140.4,58,0
35,2023-01-19,2023,1,Q1,Sierra,Supermercados,Jamones,Jamón Pollo 400g,101,3.8,0.1,383.8,345.42,93,1
13,2023-01-21,2023,1,Q1,Sierra,Supermercados,Chorizos,Chorizo Ahumado 400g,95,4.2,0.0,399.0,399.0,93,1
8,2023-01-21,2023,1,Q1,Costa,Food Service,Salchichas,Salchicha Cocktail 250g,75,1.85,0.0,138.75,138.75,70,1
16,2023-01-21,2023,1,Q1,Oriente,Supermercados,Nuggets,Nuggets Res 400g,88,5.4,0.0,475.2,475.2,93,0
21,2023-01-22,2023,1,Q1,Sierra,Food Service,Salchichas,Salchicha Cocktail 250g,80,1.85,0.05,148.0,140.6,70,1
30,2023-01-23,2023,1,Q1,Oriente,Canal Tradicional,Jamones,Jamón Pollo 400g,56,3.8,0.05,212.8,202.16,58,0
3,2023-01-23,2023,1,Q1,Costa,Supermercados,Tocino,Tocino Ahumado 250g,99,2.95,0.0,292.05,292.05,93,1
1,2023-01-24,2023,1,Q1,Sierra,Supermercados,Mortadelas,Mortadela Bologna 500g,98,3.6,0.0,352.8,352.8,93,1
41,2023-01-25,2023,1,Q1,Oriente,Supermercados,Nuggets,Nuggets Pollo 500g,100,5.1,0.1,510.0,459.0,93,1
23,2023-01-25,2023,1,Q1,Costa,Supermercados,Nuggets,Nuggets Res 400g,94,5.4,0.1,507.6,456.84,93,1
43,2023-01-26,2023,1,Q1,Oriente,Supermercados,Salchichas,Salchicha Frankfurter 400g,92,2.9,0.0,266.8,266.8,93,0
4,2023-01-26,2023,1,Q1,Sierra,Canal Tradicional,Jamones,Jamón Ahumado 300g,67,3.5,0.0,234.5,234.5,58,1
40,2023-01-28,2023,1,Q1,Costa,Supermercados,Jamones,Jamón Familiar 500g,95,4.1,0.0,389.5,389.5,93,1
73,2023-02-01,2023,2,Q1,Costa,Canal Tradicional,Mortadelas,Mortadela Bologna 500g,59,3.6,0.05,212.4,201.78,60,0
64,2023-02-01,2023,2,Q1,Costa,Food Service,Jamones,Jamón Familiar 500g,63,4.1,0.1,258.3,232.47,72,0
66,2023-02-02,2023,2,Q1,Costa,Supermercados,Nuggets,Nuggets Pollo 500g,109,5.1,0.0,555.9,555.9,96,1
61,2023-02-02,2023,2,Q1,Costa,Canal Tradicional,Tocino,Tocino Ahumado 250g,57,2.95,0.0,168.15,168.15,60,0
48,2023-02-02,2023,2,Q1,Costa,Food Service,Tocino,Tocino Ahumado 250g,79,2.95,0.0,233.05,233.05,72,1
74,2023-02-03,2023,2,Q1,Sierra,Autoservicios,Nuggets,Nuggets Pollo 500g,48,5.1,0.0,244.8,244.8,42,1
72,2023-02-04,2023,2,Q1,Costa,Autoservicios,Chorizos,Longaniza 500g,48,3.9,0.1,187.2,168.48,42,1
75,2023-02-04,2023,2,Q1,Oriente,Food Service,Tocino,Tocino Laminado 200g,53,2.6,0.05,137.8,130.91,72,0
55,2023-02-04,2023,2,Q1,Costa,Autoservicios,Jamones,Jamón Ahumado 300g,46,3.5,0.0,161.0,161.0,42,1
49,2023-02-07,2023,2,Q1,Sierra,Canal Tradicional,Tocino,Tocino Laminado 200g,62,2.6,0.1,161.2,145.08,60,1
47,2023-02-08,2023,2,Q1,Costa,Supermercados,Tocino,Tocino Ahumado 250g,91,2.95,0.05,268.45,255.03,96,0
62,2023-02-08,2023,2,Q1,Costa,Food Service,Salchichas,Salchicha Frankfurter 400g,70,2.9,0.0,203.0,203.0,72,0
90,2023-02-08,2023,2,Q1,Costa,Supermercados,Chorizos,Chorizo Ahumado 400g,100,4.2,0.0,420.0,420.0,96,1
70,2023-02-09,2023,2,Q1,Sierra,Autoservicios,Mortadelas,Mortadela Bologna 500g,39,3.6,0.0,140.4,140.4,42,0
68,2023-02-09,2023,2,Q1,Oriente,Supermercados,Nuggets,Nuggets Pollo 500g,105,5.1,0.0,535.5,535.5,96,1
56,2023-02-11,2023,2,Q1,Sierra,Supermercados,Mortadelas,Mortadela Light 400g,104,3.2,0.0,332.8,332.8,96,1
79,2023-02-11,2023,2,Q1,Costa,Supermercados,Chorizos,Longaniza 500g,96,3.9,0.05,374.4,355.68,96,1
52,2023-02-12,2023,2,Q1,Galápagos,Supermercados,Jamones,Jamón Pollo 400g,92,3.8,0.0,349.6,349.6,96,0
76,2023-02-13,2023,2,Q1,Sierra,Supermercados,Mortadelas,Mortadela Light 400g,103,3.2,0.0,329.6,329.6,96,1
77,2023-02-13,2023,2,Q1,Sierra,Canal Tradicional,Jamones,Jamón Ahumado 300g,60,3.5,0.05,210.0,199.5,60,1
69,2023-02-13,2023,2,Q1,Oriente,Food Service,Mortadelas,Mortadela Especial 300g,74,2.75,0.05,203.5,193.32,72,1
84,2023-02-13,2023,2,Q1,Costa,Canal Tradicional,Nuggets,Nuggets Pollo 500g,56,5.1,0.05,285.6,271.32,60,0
71,2023-02-14,2023,2,Q1,Costa,Food Service,Mortadelas,Mortadela Bologna 500g,74,3.6,0.0,266.4,266.4,72,1
88,2023-02-15,2023,2,Q1,Sierra,Canal Tradicional,Tocino,Tocino Laminado 200g,61,2.6,0.1,158.6,142.74,60,1
46,2023-02-17,2023,2,Q1,Costa,Canal Tradicional,Tocino,Tocino Ahumado 250g,55,2.95,0.0,162.25,162.25,60,0
54,2023-02-18,2023,2,Q1,Sierra,Supermercados,Nuggets,Nuggets Pollo 500g,101,5.1,0.05,515.1,489.34,96,1
89,2023-02-18,2023,2,Q1,Sierra,Autoservicios,Tocino,Tocino Laminado 200g,39,2.6,0.05,101.4,96.33,42,0
60,2023-02-18,2023,2,Q1,Costa,Supermercados,Salchichas,Salchicha Cocktail 250g,105,1.85,0.1,194.25,174.83,96,1
51,2023-02-19,2023,2,Q1,Costa,Supermercados,Salchichas,Salchicha Vienesa 500g,99,3.25,0.0,321.75,321.75,96,1
81,2023-02-20,2023,2,Q1,Sierra,Autoservicios,Mortadelas,Mortadela Light 400g,41,3.2,0.05,131.2,124.64,42,0
50,2023-02-21,2023,2,Q1,Sierra,Supermercados,Mortadelas,Mortadela Especial 300g,79,2.75,0.0,217.25,217.25,96,0
59,2023-02-23,2023,2,Q1,Costa,Food Service,Jamones,Jamón Pollo 400g,74,3.8,0.0,281.2,281.2,72,1
86,2023-02-23,2023,2,Q1,Sierra,Supermercados,Chorizos,Chorizo Parrillero 500g,91,4.5,0.0,409.5,409.5,96,0
63,2023-02-24,2023,2,Q1,Sierra,Canal Tradicional,Tocino,Tocino Laminado 200g,53,2.6,0.1,137.8,124.02,60,0
83,2023-02-25,2023,2,Q1,Costa,Supermercados,Jamones,Jamón Ahumado 300g,110,3.5,0.05,385.0,365.75,96,1
58,2023-02-25,2023,2,Q1,Costa,Canal Tradicional,Mortadelas,Mortadela Bologna 500g,58,3.6,0.0,208.8,208.8,60,0
87,2023-02-26,2023,2,Q1,Sierra,Supermercados,Jamones,Jamón Familiar 500g,104,4.1,0.0,426.4,426.4,96,1
80,2023-02-26,2023,2,Q1,Sierra,Canal Tradicional,Jamones,Jamón Pollo 400g,48,3.8,0.0,182.4,182.4,60,0
65,2023-02-26,2023,2,Q1,Costa,Food Service,Chorizos,Longaniza 500g,77,3.9,0.1,300.3,270.27,72,1
67,2023-02-26,2023,2,Q1,Oriente,Supermercados,Chorizos,Chorizo Ahumado 400g,95,4.2,0.0,399.0,399.0,96,0
82,2023-02-26,2023,2,Q1,Costa,Autoservicios,Jamones,Jamón Pollo 400g,43,3.8,0.0,163.4,163.4,42,1
78,2023-02-27,2023,2,Q1,Sierra,Food Service,Tocino,Tocino Laminado 200g,69,2.6,0.0,179.4,179.4,72,0
53,2023-02-27,2023,2,Q1,Oriente,Food Service,Mortadelas,Mortadela Especial 300g,67,2.75,0.0,184.25,184.25,72,0
57,2023-02-28,2023,2,Q1,Costa,Canal Tradicional,Mortadelas,Mortadela Light 400g,54,3.2,0.0,172.8,172.8,60,0
85,2023-02-28,2023,2,Q1,Sierra,Supermercados,Nuggets,Nuggets Pollo 500g,88,5.1,0.1,448.8,403.92,96,0
135,2023-03-01,2023,3,Q1,Sierra,Supermercados,Jamones,Jamón Pollo 400g,92,3.8,0.0,349.6,349.6,102,0
104,2023-03-01,2023,3,Q1,Sierra,Autoservicios,Salchichas,Salchicha Vienesa 500g,41,3.25,0.0,133.25,133.25,44,0
107,2023-03-01,2023,3,Q1,Sierra,Autoservicios,Jamones,Jamón Ahumado 300g,53,3.5,0.0,185.5,185.5,44,1
111,2023-03-01,2023,3,Q1,Sierra,Autoservicios,Salchichas,Salchicha Cocktail 250g,36,1.85,0.05,66.6,63.27,44,0
103,2023-03-03,2023,3,Q1,Sierra,Autoservicios,Salchichas,Salchicha Frankfurter 400g,43,2.9,0.0,124.7,124.7,44,0
102,2023-03-03,2023,3,Q1,Costa,Food Service,Mortadelas,Mortadela Especial 300g,73,2.75,0.0,200.75,200.75,76,0
123,2023-03-04,2023,3,Q1,Costa,Supermercados,Salchichas,Salchicha Cocktail 250g,116,1.85,0.0,214.6,214.6,102,1
127,2023-03-05,2023,3,Q1,Costa,Supermercados,Salchichas,Salchicha Cocktail 250g,91,1.85,0.0,168.35,168.35,102,0
105,2023-03-07,2023,3,Q1,Sierra,Supermercados,Chorizos,Longaniza 500g,100,3.9,0.0,390.0,390.0,102,0
108,2023-03-07,2023,3,Q1,Oriente,Canal Tradicional,Chorizos,Chorizo Ahumado 400g,64,4.2,0.1,268.8,241.92,63,1
94,2023-03-07,2023,3,Q1,Costa,Canal Tradicional,Tocino,Tocino Laminado 200g,61,2.6,0.0,158.6,158.6,63,0
93,2023-03-07,2023,3,Q1,Costa,Supermercados,Chorizos,Longaniza 500g,94,3.9,0.0,366.6,366.6,102,0
118,2023-03-07,2023,3,Q1,Costa,Canal Tradicional,Mortadelas,Mortadela Light 400g,56,3.2,0.0,179.2,179.2,63,0
131,2023-03-08,2023,3,Q1,Costa,Supermercados,Tocino,Tocino Laminado 200g,86,2.6,0.0,223.6,223.6,102,0
120,2023-03-08,2023,3,Q1,Sierra,Autoservicios,Chorizos,Chorizo Parrillero 500g,47,4.5,0.0,211.5,211.5,44,1
97,2023-03-09,2023,3,Q1,Oriente,Autoservicios,Tocino,Tocino Ahumado 250g,45,2.95,0.0,132.75,132.75,44,1
134,2023-03-09,2023,3,Q1,Costa,Food Service,Salchichas,Salchicha Vienesa 500g,80,3.25,0.05,260.0,247.0,76,1
91,2023-03-09,2023,3,Q1,Sierra,Supermercados,Tocino,Tocino Laminado 200g,102,2.6,0.05,265.2,251.94,102,1
117,2023-03-11,2023,3,Q1,Oriente,Supermercados,Jamones,Jamón Ahumado 300g,101,3.5,0.05,353.5,335.82,102,0
101,2023-03-11,2023,3,Q1,Sierra,Supermercados,Chorizos,Chorizo Ahumado 400g,87,4.2,0.0,365.4,365.4,102,0
110,2023-03-12,2023,3,Q1,Costa,Autoservicios,Salchichas,Salchicha Cocktail 250g,44,1.85,0.05,81.4,77.33,44,1
99,2023-03-13,2023,3,Q1,Sierra,Autoservicios,Jamones,Jamón Pollo 400g,44,3.8,0.0,167.2,167.2,44,1
98,2023-03-13,2023,3,Q1,Costa,Supermercados,Mortadelas,Mortadela Light 400g,104,3.2,0.05,332.8,316.16,102,1
132,2023-03-13,2023,3,Q1,Costa,Autoservicios,Tocino,Tocino Ahumado 250g,44,2.95,0.05,129.8,123.31,44,1
122,2023-03-15,2023,3,Q1,Costa,Food Service,Tocino,Tocino Laminado 200g,69,2.6,0.0,179.4,179.4,76,0
115,2023-03-15,2023,3,Q1,Sierra,Supermercados,Jamones,Jamón Familiar 500g,100,4.1,0.0,410.0,410.0,102,0
129,2023-03-16,2023,3,Q1,Sierra,Supermercados,Salchichas,Salchicha Frankfurter 400g,103,2.9,0.1,298.7,268.83,102,1
128,2023-03-16,2023,3,Q1,Sierra,Autoservicios,Salchichas,Salchicha Vienesa 500g,42,3.25,0.0,136.5,136.5,44,0
116,2023-03-16,2023,3,Q1,Costa,Canal Tradicional,Tocino,Tocino Laminado 200g,65,2.6,0.0,169.0,169.0,63,1
121,2023-03-17,2023,3,Q1,Costa,Supermercados,Nuggets,Nuggets Res 400g,110,5.4,0.0,594.0,594.0,102,1
113,2023-03-17,2023,3,Q1,Oriente,Canal Tradicional,Jamones,Jamón Ahumado 300g,64,3.5,0.0,224.0,224.0,63,1
92,2023-03-18,2023,3,Q1,Costa,Autoservicios,Jamones,Jamón Ahumado 300g,48,3.5,0.0,168.0,168.0,44,1
126,2023-03-18,2023,3,Q1,Costa,Supermercados,Jamones,Jamón Ahumado 300g,124,3.5,0.0,434.0,434.0,102,1
133,2023-03-20,2023,3,Q1,Sierra,Canal Tradicional,Tocino,Tocino Laminado 200g,56,2.6,0.0,145.6,145.6,63,0
112,2023-03-21,2023,3,Q1,Sierra,Autoservicios,Salchichas,Salchicha Frankfurter 400g,44,2.9,0.1,127.6,114.84,44,1
130,2023-03-22,2023,3,Q1,Costa,Supermercados,Chorizos,Chorizo Parrillero 500g,96,4.5,0.0,432.0,432.0,102,0
119,2023-03-23,2023,3,Q1,Costa,Autoservicios,Chorizos,Longaniza 500g,49,3.9,0.05,191.1,181.54,44,1
124,2023-03-24,2023,3,Q1,Sierra,Food Service,Nuggets,Nuggets Pollo 500g,65,5.1,0.0,331.5,331.5,76,0
106,2023-03-24,2023,3,Q1,Sierra,Supermercados,Mortadelas,Mortadela Bologna 500g,106,3.6,0.05,381.6,362.52,102,1
95,2023-03-25,2023,3,Q1,Sierra,Canal Tradicional,Tocino,Tocino Ahumado 250g,61,2.95,0.1,179.95,161.95,63,0
109,2023-03-25,2023,3,Q1,Costa,Autoservicios,Nuggets,Nuggets Pollo 500g,45,5.1,0.0,229.5,229.5,44,1
125,2023-03-27,2023,3,Q1,Sierra,Autoservicios,Tocino,Tocino Laminado 200g,47,2.6,0.1,122.2,109.98,44,1
114,2023-03-27,2023,3,Q1,Oriente,Supermercados,Tocino,Tocino Laminado 200g,127,2.6,0.0,330.2,330.2,102,1
100,2023-03-28,2023,3,Q1,Sierra,Autoservicios,Salchichas,Salchicha Cocktail 250g,43,1.85,0.0,79.55,79.55,44,0
96,2023-03-28,2023,3,Q1,Sierra,Canal Tradicional,Mortadelas,Mortadela Especial 300g,54,2.75,0.05,148.5,141.07,63,0
158,2023-04-01,2023,4,Q2,Sierra,Food Service,Mortadelas,Mortadela Light 400g,84,3.2,0.0,268.8,268.8,81,1
163,2023-04-02,2023,4,Q2,Costa,Food Service,Nuggets,Nuggets Pollo 500g,90,5.1,0.0,459.0,459.0,81,1
168,2023-04-03,2023,4,Q2,Oriente,Canal Tradicional,Chorizos,Longaniza 500g,80,3.9,0.0,312.0,312.0,67,1
146,2023-04-04,2023,4,Q2,Oriente,Canal Tradicional,Chorizos,Chorizo Ahumado 400g,72,4.2,0.0,302.4,302.4,67,1
156,2023-04-05,2023,4,Q2,Costa,Canal Tradicional,Chorizos,Chorizo Parrillero 500g,62,4.5,0.0,279.0,279.0,67,0
139,2023-04-06,2023,4,Q2,Costa,Supermercados,Mortadelas,Mortadela Bologna 500g,116,3.6,0.0,417.6,417.6,108,1
172,2023-04-06,2023,4,Q2,Costa,Supermercados,Chorizos,Longaniza 500g,99,3.9,0.05,386.1,366.8,108,0
175,2023-04-06,2023,4,Q2,Sierra,Food Service,Chorizos,Chorizo Ahumado 400g,83,4.2,0.05,348.6,331.17,81,1
142,2023-04-09,2023,4,Q2,Costa,Supermercados,Chorizos,Longaniza 500g,122,3.9,0.0,475.8,475.8,108,1
137,2023-04-09,2023,4,Q2,Sierra,Autoservicios,Chorizos,Chorizo Parrillero 500g,43,4.5,0.05,193.5,183.82,47,0
155,2023-04-09,2023,4,Q2,Sierra,Canal Tradicional,Nuggets,Nuggets Res 400g,69,5.4,0.0,372.6,372.6,67,1
157,2023-04-09,2023,4,Q2,Costa,Food Service,Tocino,Tocino Ahumado 250g,96,2.95,0.1,283.2,254.88,81,1
174,2023-04-09,2023,4,Q2,Oriente,Supermercados,Chorizos,Longaniza 500g,111,3.9,0.0,432.9,432.9,108,1
151,2023-04-10,2023,4,Q2,Sierra,Autoservicios,Jamones,Jamón Ahumado 300g,48,3.5,0.0,168.0,168.0,47,1
136,2023-04-10,2023,4,Q2,Costa,Autoservicios,Chorizos,Chorizo Ahumado 400g,54,4.2,0.0,226.8,226.8,47,1
148,2023-04-11,2023,4,Q2,Sierra,Canal Tradicional,Chorizos,Chorizo Parrillero 500g,58,4.5,0.0,261.0,261.0,67,0
160,2023-04-11,2023,4,Q2,Sierra,Supermercados,Tocino,Tocino Laminado 200g,115,2.6,0.0,299.0,299.0,108,1
171,2023-04-12,2023,4,Q2,Costa,Supermercados,Mortadelas,Mortadela Bologna 500g,98,3.6,0.0,352.8,352.8,108,0
167,2023-04-13,2023,4,Q2,Costa,Supermercados,Mortadelas,Mortadela Light 400g,116,3.2,0.1,371.2,334.08,108,1
147,2023-04-13,2023,4,Q2,Oriente,Supermercados,Nuggets,Nuggets Res 400g,94,5.4,0.0,507.6,507.6,108,0
169,2023-04-14,2023,4,Q2,Costa,Autoservicios,Mortadelas,Mortadela Bologna 500g,46,3.6,0.05,165.6,157.32,47,0
176,2023-04-14,2023,4,Q2,Costa,Food Service,Tocino,Tocino Laminado 200g,87,2.6,0.05,226.2,214.89,81,1
153,2023-04-14,2023,4,Q2,Sierra,Autoservicios,Mortadelas,Mortadela Light 400g,44,3.2,0.0,140.8,140.8,47,0
164,2023-04-15,2023,4,Q2,Costa,Food Service,Mortadelas,Mortadela Bologna 500g,74,3.6,0.1,266.4,239.76,81,0
140,2023-04-15,2023,4,Q2,Sierra,Canal Tradicional,Tocino,Tocino Laminado 200g,59,2.6,0.0,153.4,153.4,67,0
144,2023-04-15,2023,4,Q2,Sierra,Canal Tradicional,Jamones,Jamón Ahumado 300g,68,3.5,0.0,238.0,238.0,67,1
141,2023-04-15,2023,4,Q2,Sierra,Autoservicios,Mortadelas,Mortadela Light 400g,48,3.2,0.0,153.6,153.6,47,1
159,2023-04-15,2023,4,Q2,Costa,Supermercados,Tocino,Tocino Laminado 200g,95,2.6,0.1,247.0,222.3,108,0
150,2023-04-16,2023,4,Q2,Sierra,Supermercados,Tocino,Tocino Laminado 200g,111,2.6,0.05,288.6,274.17,108,1
145,2023-04-16,2023,4,Q2,Oriente,Supermercados,Tocino,Tocino Laminado 200g,110,2.6,0.05,286.0,271.7,108,1
173,2023-04-16,2023,4,Q2,Costa,Supermercados,Chorizos,Longaniza 500g,107,3.9,0.05,417.3,396.44,108,0
149,2023-04-18,2023,4,Q2,Costa,Autoservicios,Tocino,Tocino Ahumado 250g,49,2.95,0.05,144.55,137.32,47,1
138,2023-04-18,2023,4,Q2,Sierra,Canal Tradicional,Nuggets,Nuggets Pollo 500g,65,5.1,0.0,331.5,331.5,67,0
179,2023-04-19,2023,4,Q2,Costa,Food Service,Nuggets,Nuggets Res 400g,78,5.4,0.0,421.2,421.2,81,0
152,2023-04-20,2023,4,Q2,Costa,Autoservicios,Salchichas,Salchicha Vienesa 500g,48,3.25,0.1,156.0,140.4,47,1
154,2023-04-21,2023,4,Q2,Costa,Food Service,Salchichas,Salchicha Frankfurter 400g,82,2.9,0.1,237.8,214.02,81,1
143,2023-04-22,2023,4,Q2,Costa,Supermercados,Nuggets,Nuggets Pollo 500g,90,5.1,0.1,459.0,413.1,108,0
178,2023-04-23,2023,4,Q2,Sierra,Supermercados,Tocino,Tocino Laminado 200g,123,2.6,0.0,319.8,319.8,108,1
166,2023-04-23,2023,4,Q2,Sierra,Supermercados,Chorizos,Chorizo Ahumado 400g,112,4.2,0.0,470.4,470.4,108,1
170,2023-04-23,2023,4,Q2,Galápagos,Autoservicios,Nuggets,Nuggets Pollo 500g,43,5.1,0.0,219.3,219.3,47,0
162,2023-04-26,2023,4,Q2,Sierra,Supermercados,Nuggets,Nuggets Res 400g,116,5.4,0.05,626.4,595.08,108,1
180,2023-04-27,2023,4,Q2,Oriente,Autoservicios,Salchichas,Salchicha Cocktail 250g,60,1.85,0.05,111.0,105.45,47,1
165,2023-04-28,2023,4,Q2,Costa,Food Service,Salchichas,Salchicha Cocktail 250g,88,1.85,0.0,162.8,162.8,81,1
177,2023-04-28,2023,4,Q2,Sierra,Canal Tradicional,Mortadelas,Mortadela Bologna 500g,67,3.6,0.1,241.2,217.08,67,1
161,2023-04-28,2023,4,Q2,Oriente,Food Service,Jamones,Jamón Pollo 400g,73,3.8,0.0,277.4,277.4,81,0
208,2023-05-01,2023,5,Q2,Costa,Autoservicios,Nuggets,Nuggets Res 400g,52,5.4,0.0,280.8,280.8,49,1
210,2023-05-03,2023,5,Q2,Sierra,Canal Tradicional,Salchichas,Salchicha Frankfurter 400g,98,2.9,0.05,284.2,269.99,71,1
219,2023-05-04,2023,5,Q2,Oriente,Autoservicios,Mortadelas,Mortadela Light 400g,47,3.2,0.0,150.4,150.4,49,0
220,2023-05-04,2023,5,Q2,Sierra,Supermercados,Nuggets,Nuggets Res 400g,114,5.4,0.0,615.6,615.6,114,1
193,2023-05-04,2023,5,Q2,Costa,Supermercados,Salchichas,Salchicha Frankfurter 400g,116,2.9,0.1,336.4,302.76,114,1
205,2023-05-05,2023,5,Q2,Sierra,Canal Tradicional,Salchichas,Salchicha Vienesa 500g,61,3.25,0.0,198.25,198.25,71,0
184,2023-05-07,2023,5,Q2,Costa,Food Service,Mortadelas,Mortadela Light 400g,89,3.2,0.0,284.8,284.8,85,1
225,2023-05-07,2023,5,Q2,Costa,Autoservicios,Salchichas,Salchicha Vienesa 500g,47,3.25,0.05,152.75,145.11,49,0
191,2023-05-08,2023,5,Q2,Sierra,Canal Tradicional,Tocino,Tocino Laminado 200g,68,2.6,0.1,176.8,159.12,71,0
187,2023-05-08,2023,5,Q2,Sierra,Canal Tradicional,Salchichas,Salchicha Vienesa 500g,74,3.25,0.05,240.5,228.47,71,1
213,2023-05-08,2023,5,Q2,Costa,Autoservicios,Tocino,Tocino Ahumado 250g,54,2.95,0.0,159.3,159.3,49,1
181,2023-05-08,2023,5,Q2,Oriente,Supermercados,Jamones,Jamón Pollo 400g,121,3.8,0.05,459.8,436.81,114,1
190,2023-05-08,2023,5,Q2,Sierra,Canal Tradicional,Nuggets,Nuggets Res 400g,60,5.4,0.0,324.0,324.0,71,0
185,2023-05-09,2023,5,Q2,Costa,Canal Tradicional,Mortadelas,Mortadela Light 400g,69,3.2,0.0,220.8,220.8,71,0
196,2023-05-09,2023,5,Q2,Costa,Canal Tradicional,Salchichas,Salchicha Frankfurter 400g,73,2.9,0.05,211.7,201.11,71,1
223,2023-05-10,2023,5,Q2,Sierra,Supermercados,Jamones,Jamón Ahumado 300g,121,3.5,0.05,423.5,402.32,114,1
200,2023-05-11,2023,5,Q2,Sierra,Autoservicios,Nuggets,Nuggets Pollo 500g,44,5.1,0.0,224.4,224.4,49,0
186,2023-05-11,2023,5,Q2,Sierra,Supermercados,Chorizos,Chorizo Ahumado 400g,122,4.2,0.05,512.4,486.78,114,1
